breakpointsPerLine,actions,browser,testcase,ms
0.1,100,chrome,js-puzzle-5,313
0.1,100,chrome,js-puzzle-6,317
0.1,100,chrome,js-puzzle-7,337
0.1,100,chrome,js-puzzle-8,309
0.1,100,chrome,js-puzzle-9,326
0.1,100,chrome,js-puzzle-10,318
0.1,100,chrome,js-puzzle-11,332
0.1,100,chrome,manual-bindings,339
0.1,100,chrome,manual-multiline-decls,318
0.1,100,chrome,manual-wtf,363
0.2,100,firefox,sunspider-3d-cube,6491
0.2,100,firefox,sunspider-3d-morph,5189
0.2,100,firefox,sunspider-3d-raytrace,6385
0.2,100,firefox,sunspider-access-binary-trees,6812
0.2,100,firefox,sunspider-access-fannkuch,5550
0.2,100,firefox,sunspider-access-nbody,5679
0.2,100,firefox,sunspider-access-nsieve,1740
0.2,100,firefox,sunspider-bitops-3bit-bits-in-byte,5488
0.2,100,firefox,sunspider-bitops-bits-in-byte,5605
0.2,100,firefox,sunspider-bitops-bitwise-and,5147
0.2,100,firefox,sunspider-bitops-nsieve-bits,5597
0.2,100,firefox,sunspider-controlflow-recursive,8701
0.2,100,firefox,sunspider-crypto-aes,6087
0.2,100,firefox,sunspider-crypto-md5,6353
0.2,100,firefox,sunspider-crypto-sha1,5982
0.2,100,firefox,sunspider-date-format-tofte,6308
0.2,100,firefox,sunspider-date-format-xparb,5676
